"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業","2439.0","5296.0","2859.0","2436.0","1746.0","1179.0","566.0","502.0","126.0","376.0","1155.0","648.0","507.0","1720.0","847.0","873.0","956.0","508.0","448.0","764.0","339.0","425.0","173.0","59.0","114.0","1767.0","2618.0","1409.0","1208.0","1746.0","1179.0","566.0","502.0","126.0","376.0","294.0","75.0","219.0","182.0","51.0","131.0","76.0","29.0","47.0","661.0","2640.0","1425.0","1215.0","1139.0","635.0","504.0","1404.0","760.0","644.0","766.0","452.0","314.0","97.0","30.0","67.0","626.0","2466.0","1281.0","1185.0","1068.0","569.0","499.0","1302.0","683.0","619.0","713.0","407.0","306.0","96.0","29.0","67.0","613.0","2420.0","1255.0","1165.0","1038.0","553.0","485.0","1287.0","674.0","613.0","698.0","398.0","300.0","95.0","28.0","67.0","12.0","43.0","25.0","18.0","27.0","15.0","12.0","15.0","9.0","6.0","15.0","9.0","6.0","1.0","1.0","-","1.0","3.0","1.0","2.0","3.0","1.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.0","174.0","144.0","30.0","71.0","66.0","5.0","102.0","77.0","25.0","53.0","45.0","8.0","1.0","1.0","-","11.0","38.0","25.0","13.0","16.0","13.0","3.0","22.0","12.0","10.0","8.0","5.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_","24.0","92.0","41.0","51.0","7.0","6.0","1.0","4.0","-","4.0","22.0","17.0","5.0","55.0","15.0","40.0","14.0","7.0","7.0","41.0","8.0","33.0","4.0","3.0","1.0","7.0","13.0","7.0","6.0","7.0","6.0","1.0","4.0","-","4.0","2.0","1.0","1.0","1.0","-","1.0","-","-","-","16.0","78.0","34.0","44.0","22.0","17.0","5.0","52.0","14.0","38.0","13.0","7.0","6.0","4.0","3.0","1.0","13.0","73.0","31.0","42.0","19.0","14.0","5.0","50.0","14.0","36.0","11.0","7.0","4.0","4.0","3.0","1.0","13.0","73.0","31.0","42.0","19.0","14.0","5.0","50.0","14.0","36.0","11.0","7.0","4.0","4.0","3.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0","5.0","3.0","2.0","3.0","3.0","-","2.0","-","2.0","2.0","-","2.0","-","-","-","1.0","1.0","-","1.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_　　　70 物品賃貸業","223.0","1301.0","882.0","415.0","36.0","27.0","9.0","12.0","5.0","7.0","167.0","112.0","55.0","1020.0","691.0","325.0","711.0","541.0","168.0","309.0","150.0","157.0","66.0","47.0","19.0","38.0","105.0","56.0","49.0","36.0","27.0","9.0","12.0","5.0","7.0","50.0","21.0","29.0","26.0","13.0","13.0","7.0","3.0","4.0","184.0","1192.0","823.0","365.0","167.0","112.0","55.0","966.0","667.0","295.0","684.0","527.0","155.0","59.0","44.0","15.0","184.0","1192.0","823.0","365.0","167.0","112.0","55.0","966.0","667.0","295.0","684.0","527.0","155.0","59.0","44.0","15.0","184.0","1192.0","823.0","365.0","167.0","112.0","55.0","966.0","667.0","295.0","684.0","527.0","155.0","59.0","44.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","4.0","3.0","1.0","-","-","-","4.0","3.0","1.0","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_","1461.0","7294.0","4802.0","2485.0","902.0","840.0","61.0","152.0","26.0","126.0","757.0","555.0","202.0","5123.0","3157.0","1960.0","4152.0","2840.0","1306.0","971.0","317.0","654.0","360.0","224.0","136.0","908.0","2749.0","1514.0","1228.0","902.0","840.0","61.0","152.0","26.0","126.0","1567.0","582.0","979.0","1301.0","528.0","767.0","128.0","66.0","62.0","551.0","4542.0","3285.0","1257.0","756.0","554.0","202.0","3554.0","2573.0","981.0","2851.0","2312.0","539.0","232.0","158.0","74.0","492.0","4056.0","2948.0","1108.0","715.0","515.0","200.0","3125.0","2280.0","845.0","2542.0","2059.0","483.0","216.0","153.0","63.0","486.0","4045.0","2940.0","1105.0","708.0","509.0","199.0","3122.0","2279.0","843.0","2541.0","2058.0","483.0","215.0","152.0","63.0","1.0","2.0","2.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","5.0","9.0","6.0","3.0","5.0","4.0","1.0","3.0","1.0","2.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","59.0","486.0","337.0","149.0","41.0","39.0","2.0","429.0","293.0","136.0","309.0","253.0","56.0","16.0","5.0","11.0","2.0","3.0","3.0","-","1.0","1.0","-","2.0","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関","26.0","368.0","213.0","155.0","-","-","-","-","-","-","8.0","8.0","-","348.0","201.0","147.0","232.0","168.0","64.0","116.0","33.0","83.0","12.0","4.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.0","366.0","211.0","155.0","8.0","8.0","-","346.0","199.0","147.0","232.0","168.0","64.0","12.0","4.0","8.0","7.0","198.0","116.0","82.0","5.0","5.0","-","193.0","111.0","82.0","145.0","101.0","44.0","-","-","-","7.0","198.0","116.0","82.0","5.0","5.0","-","193.0","111.0","82.0","145.0","101.0","44.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.0","168.0","95.0","73.0","3.0","3.0","-","153.0","88.0","65.0","87.0","67.0","20.0","12.0","4.0","8.0","1.0","2.0","2.0","-","-","-","-","2.0","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)","665.0","2667.0","1355.0","1305.0","530.0","483.0","46.0","66.0","12.0","54.0","202.0","148.0","54.0","1763.0","675.0","1082.0","1449.0","637.0","806.0","314.0","38.0","276.0","106.0","37.0","69.0","533.0","1931.0","978.0","946.0","530.0","483.0","46.0","66.0","12.0","54.0","1265.0","451.0","808.0","1079.0","427.0","646.0","70.0","32.0","38.0","132.0","736.0","377.0","359.0","202.0","148.0","54.0","498.0","224.0","274.0","370.0","210.0","160.0","36.0","5.0","31.0","115.0","657.0","333.0","324.0","189.0","136.0","53.0","433.0","192.0","241.0","318.0","179.0","139.0","35.0","5.0","30.0","115.0","657.0","333.0","324.0","189.0","136.0","53.0","433.0","192.0","241.0","318.0","179.0","139.0","35.0","5.0","30.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.0","79.0","44.0","35.0","13.0","12.0","1.0","65.0","32.0","33.0","52.0","31.0","21.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業","33.0","234.0","148.0","86.0","6.0","5.0","1.0","3.0","-","3.0","37.0","26.0","11.0","187.0","116.0","71.0","129.0","85.0","44.0","58.0","31.0","27.0","1.0","1.0","-","6.0","15.0","11.0","4.0","6.0","5.0","1.0","3.0","-","3.0","6.0","6.0","-","4.0","4.0","-","-","-","-","27.0","219.0","137.0","82.0","37.0","26.0","11.0","181.0","110.0","71.0","125.0","81.0","44.0","1.0","1.0","-","27.0","219.0","137.0","82.0","37.0","26.0","11.0","181.0","110.0","71.0","125.0","81.0","44.0","1.0","1.0","-","25.0","216.0","135.0","81.0","36.0","25.0","11.0","179.0","109.0","70.0","124.0","80.0","44.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","3.0","2.0","1.0","1.0","1.0","-","2.0","1.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)","727.0","3986.0","3064.0","922.0","358.0","347.0","11.0","81.0","12.0","69.0","509.0","372.0","137.0","2804.0","2154.0","650.0","2321.0","1939.0","382.0","483.0","215.0","268.0","234.0","179.0","55.0","361.0","784.0","513.0","271.0","358.0","347.0","11.0","81.0","12.0","69.0","294.0","123.0","171.0","216.0","95.0","121.0","51.0","31.0","20.0","365.0","3201.0","2550.0","651.0","508.0","371.0","137.0","2510.0","2031.0","479.0","2105.0","1844.0","261.0","183.0","148.0","35.0","341.0","2962.0","2352.0","610.0","483.0","347.0","136.0","2299.0","1858.0","441.0","1935.0","1689.0","246.0","180.0","147.0","33.0","337.0","2954.0","2346.0","608.0","477.0","342.0","135.0","2298.0","1858.0","440.0","1935.0","1689.0","246.0","179.0","146.0","33.0","1.0","2.0","2.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","3.0","6.0","4.0","2.0","4.0","3.0","1.0","1.0","-","1.0","-","-","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.0","239.0","198.0","41.0","25.0","24.0","1.0","211.0","173.0","38.0","170.0","155.0","15.0","3.0","1.0","2.0","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　LZ 学術研究，専門・技術サービス業 内格付不能_","10.0","39.0","22.0","17.0","8.0","5.0","3.0","2.0","2.0","-","1.0","1.0","-","21.0","11.0","10.0","21.0","11.0","10.0","-","-","-","7.0","3.0","4.0","8.0","19.0","12.0","7.0","8.0","5.0","3.0","2.0","2.0","-","2.0","2.0","-","2.0","2.0","-","7.0","3.0","4.0","2.0","20.0","10.0","10.0","1.0","1.0","-","19.0","9.0","10.0","19.0","9.0","10.0","-","-","-","2.0","20.0","10.0","10.0","1.0","1.0","-","19.0","9.0","10.0","19.0","9.0","10.0","-","-","-","2.0","20.0","10.0","10.0","1.0","1.0","-","19.0","9.0","10.0","19.0","9.0","10.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_","5927.0","37377.0","13337.0","23755.0","4584.0","2391.0","2192.0","1804.0","388.0","1416.0","972.0","630.0","340.0","26674.0","9234.0","17158.0","6000.0","3601.0","2388.0","20674.0","5633.0","14770.0","3343.0","694.0","2649.0","4672.0","14717.0","4612.0","10104.0","4584.0","2391.0","2192.0","1804.0","388.0","1416.0","6215.0","1515.0","4700.0","1634.0","674.0","960.0","2114.0","318.0","1796.0","1242.0","22608.0","8714.0","13610.0","970.0","629.0","339.0","20423.0","7711.0","12430.0","4353.0","2922.0","1420.0","1215.0","374.0","841.0","1194.0","21789.0","8364.0","13141.0","941.0","605.0","334.0","19728.0","7424.0","12022.0","4129.0","2768.0","1350.0","1120.0","335.0","785.0","1187.0","21724.0","8322.0","13118.0","934.0","601.0","331.0","19670.0","7386.0","12002.0","4120.0","2759.0","1350.0","1120.0","335.0","785.0","4.0","33.0","29.0","4.0","5.0","3.0","2.0","28.0","26.0","2.0","2.0","2.0","-","-","-","-","3.0","32.0","13.0","19.0","2.0","1.0","1.0","30.0","12.0","18.0","7.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48.0","819.0","350.0","469.0","29.0","24.0","5.0","695.0","287.0","408.0","224.0","154.0","70.0","95.0","39.0","56.0","13.0","52.0","11.0","41.0","2.0","1.0","1.0","36.0","8.0","28.0","13.0","5.0","8.0","14.0","2.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業","618.0","7288.0","3083.0","4205.0","321.0","193.0","128.0","200.0","47.0","153.0","319.0","199.0","120.0","5761.0","2493.0","3268.0","2311.0","1446.0","865.0","3450.0","1047.0","2403.0","687.0","151.0","536.0","328.0","1224.0","386.0","838.0","321.0","193.0","128.0","200.0","47.0","153.0","422.0","110.0","312.0","180.0","73.0","107.0","281.0","36.0","245.0","286.0","6055.0","2694.0","3361.0","318.0","199.0","119.0","5333.0","2380.0","2953.0","2127.0","1371.0","756.0","404.0","115.0","289.0","252.0","5366.0","2394.0","2972.0","302.0","186.0","116.0","4745.0","2128.0","2617.0","1931.0","1239.0","692.0","319.0","80.0","239.0","250.0","5354.0","2388.0","2966.0","300.0","186.0","114.0","4735.0","2122.0","2613.0","1928.0","1236.0","692.0","319.0","80.0","239.0","1.0","1.0","-","1.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","1.0","11.0","6.0","5.0","1.0","-","1.0","10.0","6.0","4.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.0","689.0","300.0","389.0","16.0","13.0","3.0","588.0","252.0","336.0","196.0","132.0","64.0","85.0","35.0","50.0","4.0","9.0","3.0","6.0","1.0","-","1.0","6.0","3.0","3.0","4.0","2.0","2.0","2.0","-","2.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店","4920.0","25910.0","9173.0","16452.0","4050.0","2049.0","2000.0","1473.0","310.0","1163.0","564.0","373.0","189.0","17292.0","5918.0","11092.0","3050.0","1819.0","1220.0","14242.0","4099.0","9872.0","2531.0","523.0","2008.0","4122.0","12643.0","3953.0","8689.0","4050.0","2049.0","2000.0","1473.0","310.0","1163.0","5383.0","1326.0","4057.0","1391.0","575.0","816.0","1737.0","268.0","1469.0","792.0","13238.0","5214.0","7740.0","563.0","372.0","189.0","11890.0","4589.0","7019.0","1656.0","1242.0","403.0","785.0","253.0","532.0","780.0","13133.0","5173.0","7676.0","550.0","361.0","187.0","11808.0","4563.0","6963.0","1636.0","1228.0","397.0","775.0","249.0","526.0","776.0","13089.0","5145.0","7660.0","547.0","358.0","187.0","11767.0","4538.0","6947.0","1631.0","1223.0","397.0","775.0","249.0","526.0","2.0","23.0","21.0","2.0","2.0","2.0","-","21.0","19.0","2.0","1.0","1.0","-","-","-","-","2.0","21.0","7.0","14.0","1.0","1.0","-","20.0","6.0","14.0","4.0","4.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.0","105.0","41.0","64.0","13.0","11.0","2.0","82.0","26.0","56.0","20.0","14.0","6.0","10.0","4.0","6.0","6.0","29.0","6.0","23.0","1.0","1.0","-","19.0","3.0","16.0","3.0","2.0","1.0","9.0","2.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業","318.0","3901.0","1018.0","2883.0","161.0","120.0","41.0","110.0","30.0","80.0","82.0","53.0","29.0","3449.0","798.0","2651.0","604.0","325.0","279.0","2845.0","473.0","2372.0","99.0","17.0","82.0","166.0","695.0","232.0","463.0","161.0","120.0","41.0","110.0","30.0","80.0","346.0","71.0","275.0","53.0","23.0","30.0","78.0","11.0","67.0","151.0","3202.0","784.0","2418.0","82.0","53.0","29.0","3099.0","725.0","2374.0","548.0","301.0","247.0","21.0","6.0","15.0","149.0","3177.0","775.0","2402.0","82.0","53.0","29.0","3074.0","716.0","2358.0","540.0","293.0","247.0","21.0","6.0","15.0","148.0","3168.0","767.0","2401.0","80.0","52.0","28.0","3067.0","709.0","2358.0","539.0","292.0","247.0","21.0","6.0","15.0","1.0","9.0","8.0","1.0","2.0","1.0","1.0","7.0","7.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","25.0","9.0","16.0","-","-","-","25.0","9.0","16.0","8.0","8.0","-","-","-","-","1.0","4.0","2.0","2.0","-","-","-","4.0","2.0","2.0","3.0","1.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　M2 飲食店，持ち帰り・配達飲食サービス業 内格付不能_","71.0","278.0","63.0","215.0","52.0","29.0","23.0","21.0","1.0","20.0","7.0","5.0","2.0","172.0","25.0","147.0","35.0","11.0","24.0","137.0","14.0","123.0","26.0","3.0","23.0","56.0","155.0","41.0","114.0","52.0","29.0","23.0","21.0","1.0","20.0","64.0","8.0","56.0","10.0","3.0","7.0","18.0","3.0","15.0","13.0","113.0","22.0","91.0","7.0","5.0","2.0","101.0","17.0","84.0","22.0","8.0","14.0","5.0","-","5.0","13.0","113.0","22.0","91.0","7.0","5.0","2.0","101.0","17.0","84.0","22.0","8.0","14.0","5.0","-","5.0","13.0","113.0","22.0","91.0","7.0","5.0","2.0","101.0","17.0","84.0","22.0","8.0","14.0","5.0","-","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","10.0","-","10.0","-","-","-","7.0","-","7.0","3.0","-","3.0","3.0","-","3.0"
