"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_　　　　649 その他の非預金信用機関","6.0","6.0","-","-","60.0","44.0","16.0","60.0","44.0","16.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　65 金融商品取引業，商品先物取引業_","26.0","23.0","3.0","5.0","429.0","265.0","164.0","416.0","254.0","162.0","13.0","11.0","2.0","65.0","34.0","31.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　65 金融商品取引業，商品先物取引業_　　　　650 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　65 金融商品取引業，商品先物取引業_　　　　651 金融商品取引業","25.0","22.0","3.0","5.0","418.0","256.0","162.0","405.0","245.0","160.0","13.0","11.0","2.0","65.0","34.0","31.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　65 金融商品取引業，商品先物取引業_　　　　652 商品先物取引業，商品投資業","1.0","1.0","-","-","11.0","9.0","2.0","11.0","9.0","2.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　66 補助的金融業等_","9.0","8.0","1.0","1.0","158.0","125.0","33.0","132.0","102.0","30.0","26.0","23.0","3.0","26.0","22.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　66 補助的金融業等_　　　　660 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　66 補助的金融業等_　　　　661 補助的金融業，金融附帯業","8.0","7.0","1.0","1.0","151.0","119.0","32.0","125.0","96.0","29.0","26.0","23.0","3.0","26.0","22.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　66 補助的金融業等_　　　　662 信託業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　66 補助的金融業等_　　　　663 金融代理業","1.0","1.0","-","-","7.0","6.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_","463.0","425.0","38.0","106.0","4356.0","1475.0","2881.0","4090.0","1336.0","2754.0","266.0","139.0","127.0","961.0","371.0","590.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　670 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　671 生命保険業","108.0","101.0","7.0","29.0","2362.0","360.0","2002.0","2280.0","334.0","1946.0","82.0","26.0","56.0","599.0","130.0","469.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　672 損害保険業","40.0","33.0","7.0","8.0","629.0","307.0","322.0","538.0","258.0","280.0","91.0","49.0","42.0","123.0","60.0","63.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　673 共済事業・少額短期保険業","20.0","17.0","3.0","6.0","163.0","126.0","37.0","149.0","117.0","32.0","14.0","9.0","5.0","80.0","71.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　674 保険媒介代理業","285.0","264.0","21.0","59.0","1160.0","650.0","510.0","1081.0","595.0","486.0","79.0","55.0","24.0","141.0","93.0","48.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)_　　　　675 保険サービス業","10.0","10.0","-","4.0","42.0","32.0","10.0","42.0","32.0","10.0","-","-","-","18.0","17.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　　JZ 金融業，保険業 内格付不能_","17.0","17.0","-","-","470.0","315.0","155.0","470.0","315.0","155.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　JZZ 金融業，保険業 内格付不能_","17.0","17.0","-","-","470.0","315.0","155.0","470.0","315.0","155.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_","3018.0","2941.0","77.0","444.0","7942.0","4572.0","3365.0","7596.0","4360.0","3231.0","346.0","212.0","134.0","933.0","595.0","338.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業_","332.0","309.0","23.0","70.0","1253.0","790.0","463.0","1169.0","728.0","441.0","84.0","62.0","22.0","175.0","127.0","48.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業_　　　　680 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業_　　　　681 建物売買業，土地売買業","99.0","93.0","6.0","21.0","509.0","324.0","185.0","492.0","315.0","177.0","17.0","9.0","8.0","77.0","64.0","13.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業_　　　　682 不動産代理業・仲介業","233.0","216.0","17.0","49.0","744.0","466.0","278.0","677.0","413.0","264.0","67.0","53.0","14.0","98.0","63.0","35.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_","2439.0","2404.0","35.0","329.0","5296.0","2859.0","2436.0","5123.0","2759.0","2363.0","173.0","100.0","73.0","573.0","346.0","227.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_　　　　690 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_　　　　691 不動産賃貸業(貸家業，貸間業を除く)","286.0","282.0","4.0","50.0","895.0","506.0","389.0","871.0","489.0","382.0","24.0","17.0","7.0","104.0","50.0","54.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_　　　　692 貸家業，貸間業","1338.0","1321.0","17.0","162.0","2689.0","1380.0","1308.0","2627.0","1338.0","1288.0","62.0","42.0","20.0","235.0","142.0","93.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_　　　　693 駐車場業","650.0","644.0","6.0","95.0","1017.0","545.0","472.0","1011.0","542.0","469.0","6.0","3.0","3.0","128.0","81.0","47.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業_　　　　694 不動産管理業","165.0","157.0","8.0","22.0","695.0","428.0","267.0","614.0","390.0","224.0","81.0","38.0","43.0","106.0","73.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_","24.0","22.0","2.0","-","92.0","41.0","51.0","90.0","41.0","49.0","2.0","-","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　K1Z 不動産業 内格付不能_","24.0","22.0","2.0","-","92.0","41.0","51.0","90.0","41.0","49.0","2.0","-","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_","223.0","206.0","17.0","45.0","1301.0","882.0","415.0","1214.0","832.0","378.0","87.0","50.0","37.0","185.0","122.0","63.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　700 管理，補助的経済活動を行う事業所","3.0","1.0","2.0","-","7.0","7.0","-","1.0","1.0","-","6.0","6.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　701 各種物品賃貸業","2.0","2.0","-","-","18.0","13.0","5.0","18.0","13.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　702 産業用機械器具賃貸業","75.0","71.0","4.0","19.0","471.0","367.0","104.0","464.0","363.0","101.0","7.0","4.0","3.0","70.0","53.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　703 事務用機械器具賃貸業","3.0","3.0","-","-","5.0","4.0","1.0","5.0","4.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　704 自動車賃貸業","35.0","33.0","2.0","4.0","203.0","167.0","36.0","194.0","162.0","32.0","9.0","5.0","4.0","8.0","4.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　705 スポーツ・娯楽用品賃貸業","4.0","4.0","-","3.0","18.0","15.0","3.0","18.0","15.0","3.0","-","-","-","13.0","12.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　709 その他の物品賃貸業","96.0","87.0","9.0","19.0","561.0","297.0","260.0","496.0","262.0","230.0","65.0","35.0","30.0","94.0","53.0","41.0"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　70 物品賃貸業_　　　　70Z 物品賃貸業 内格付不能","5.0","5.0","-","-","18.0","12.0","6.0","18.0","12.0","6.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_","1461.0","1415.0","46.0","222.0","7294.0","4802.0","2485.0","7134.0","4709.0","2418.0","160.0","93.0","67.0","744.0","492.0","252.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関_","26.0","25.0","1.0","7.0","368.0","213.0","155.0","350.0","205.0","145.0","18.0","8.0","10.0","56.0","33.0","23.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関_　　　　710 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関_　　　　711 自然科学研究所","22.0","22.0","-","5.0","299.0","181.0","118.0","299.0","181.0","118.0","-","-","-","49.0","32.0","17.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関_　　　　712 人文・社会科学研究所","4.0","3.0","1.0","2.0","69.0","32.0","37.0","51.0","24.0","27.0","18.0","8.0","10.0","7.0","1.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関_　　　　71Z 学術・開発研究機関 内格付不能","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_","665.0","645.0","20.0","104.0","2667.0","1355.0","1305.0","2611.0","1320.0","1284.0","56.0","35.0","21.0","279.0","145.0","134.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　720 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　721 法律事務所，特許事務所","52.0","52.0","-","4.0","245.0","107.0","138.0","245.0","107.0","138.0","-","-","-","15.0","6.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　722 公証人役場，司法書士事務所，土地家屋調査士事務所","182.0","175.0","7.0","26.0","486.0","304.0","182.0","474.0","295.0","179.0","12.0","9.0","3.0","56.0","37.0","19.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　723 行政書士事務所","45.0","44.0","1.0","3.0","97.0","47.0","50.0","96.0","46.0","50.0","1.0","1.0","-","5.0","3.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　724 公認会計士事務所，税理士事務所","183.0","177.0","6.0","21.0","941.0","449.0","485.0","923.0","438.0","478.0","18.0","11.0","7.0","71.0","27.0","44.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　725 社会保険労務士事務所","47.0","47.0","-","4.0","127.0","44.0","83.0","127.0","44.0","83.0","-","-","-","5.0","4.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　726 デザイン業","34.0","33.0","1.0","15.0","159.0","80.0","79.0","158.0","79.0","79.0","1.0","1.0","-","20.0","13.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　727 著述・芸術家業","4.0","3.0","1.0","1.0","4.0","2.0","2.0","3.0","2.0","1.0","1.0","-","1.0","1.0","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　728 経営コンサルタント業，純粋持株会社","49.0","49.0","-","11.0","198.0","115.0","83.0","198.0","115.0","83.0","-","-","-","45.0","27.0","18.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)_　　　　729 その他の専門サービス業","69.0","65.0","4.0","19.0","410.0","207.0","203.0","387.0","194.0","193.0","23.0","13.0","10.0","61.0","28.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業_","33.0","32.0","1.0","13.0","234.0","148.0","86.0","233.0","148.0","85.0","1.0","-","1.0","66.0","44.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業_　　　　730 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業_　　　　731 広告業","33.0","32.0","1.0","13.0","234.0","148.0","86.0","233.0","148.0","85.0","1.0","-","1.0","66.0","44.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_","727.0","703.0","24.0","98.0","3986.0","3064.0","922.0","3901.0","3014.0","887.0","85.0","50.0","35.0","343.0","270.0","73.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　740 管理，補助的経済活動を行う事業所","4.0","4.0","-","-","26.0","22.0","4.0","26.0","22.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　741 獣医業","59.0","57.0","2.0","3.0","268.0","86.0","182.0","244.0","79.0","165.0","24.0","7.0","17.0","23.0","7.0","16.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　742 土木建築サービス業","487.0","471.0","16.0","63.0","1986.0","1589.0","397.0","1942.0","1560.0","382.0","44.0","29.0","15.0","194.0","158.0","36.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　743 機械設計業","19.0","18.0","1.0","2.0","280.0","198.0","82.0","272.0","191.0","81.0","8.0","7.0","1.0","14.0","13.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　744 商品・非破壊検査業","16.0","16.0","-","-","360.0","305.0","55.0","360.0","305.0","55.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　745 計量証明業","7.0","6.0","1.0","3.0","42.0","36.0","6.0","39.0","34.0","5.0","3.0","2.0","1.0","8.0","6.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　746 写真業","76.0","74.0","2.0","14.0","263.0","144.0","119.0","261.0","142.0","119.0","2.0","2.0","-","34.0","22.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)_　　　　749 その他の技術サービス業","59.0","57.0","2.0","13.0","761.0","684.0","77.0","757.0","681.0","76.0","4.0","3.0","1.0","70.0","64.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　　LZ 学術研究，専門・技術サービス業 内格付不能_","10.0","10.0","-","-","39.0","22.0","17.0","39.0","22.0","17.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　LZZ 学術研究，専門・技術サービス業 内格付不能_","10.0","10.0","-","-","39.0","22.0","17.0","39.0","22.0","17.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_","5927.0","5437.0","490.0","1305.0","37377.0","13337.0","23755.0","34244.0","12335.0","21648.0","3133.0","1002.0","2107.0","6484.0","2061.0","4423.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_","618.0","592.0","26.0","111.0","7288.0","3083.0","4205.0","6969.0","2977.0","3992.0","319.0","106.0","213.0","973.0","364.0","609.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_　　　　750 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","7.0","6.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_　　　　751 旅館，ホテル","540.0","523.0","17.0","84.0","6286.0","2561.0","3725.0","5996.0","2466.0","3530.0","290.0","95.0","195.0","856.0","316.0","540.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_　　　　752 簡易宿所","22.0","21.0","1.0","7.0","129.0","59.0","70.0","127.0","59.0","68.0","2.0","-","2.0","33.0","12.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_　　　　753 下宿業","2.0","2.0","-","-","3.0","1.0","2.0","3.0","1.0","2.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業_　　　　759 その他の宿泊業","52.0","44.0","8.0","20.0","863.0","456.0","407.0","836.0","445.0","391.0","27.0","11.0","16.0","84.0","36.0","48.0"
"　C～R 非農林漁業(S公務を除く)_　　　　75Z 宿泊業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_","4920.0","4508.0","412.0","1139.0","25910.0","9173.0","16452.0","23456.0","8383.0","14812.0","2454.0","790.0","1640.0","4890.0","1577.0","3313.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　760 管理，補助的経済活動を行う事業所","10.0","10.0","-","3.0","47.0","26.0","21.0","47.0","26.0","21.0","-","-","-","5.0","2.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　761 食堂，レストラン(専門料理店を除く)","444.0","416.0","28.0","91.0","3554.0","1075.0","2243.0","3352.0","1014.0","2126.0","202.0","61.0","117.0","479.0","136.0","343.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　762 専門料理店","1206.0","1102.0","104.0","202.0","8677.0","3555.0","5076.0","7767.0","3208.0","4513.0","910.0","347.0","563.0","971.0","418.0","553.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　763 そば・うどん店","125.0","118.0","7.0","24.0","978.0","366.0","612.0","911.0","341.0","570.0","67.0","25.0","42.0","76.0","26.0","50.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　764 すし店","190.0","178.0","12.0","29.0","2233.0","968.0","1264.0","2048.0","885.0","1162.0","185.0","83.0","102.0","107.0","50.0","57.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　765 酒場，ビヤホール","742.0","676.0","66.0","219.0","2899.0","1215.0","1684.0","2581.0","1098.0","1483.0","318.0","117.0","201.0","851.0","321.0","530.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　766 バー，キャバレー，ナイトクラブ","773.0","682.0","91.0","267.0","2339.0","272.0","2067.0","1976.0","233.0","1743.0","363.0","39.0","324.0","863.0","100.0","763.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　767 喫茶店","1115.0","1036.0","79.0","216.0","2949.0","773.0","2174.0","2677.0","709.0","1966.0","272.0","64.0","208.0","508.0","130.0","378.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店_　　　　769 その他の飲食店","315.0","290.0","25.0","88.0","2234.0","923.0","1311.0","2097.0","869.0","1228.0","137.0","54.0","83.0","1030.0","394.0","636.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業_","318.0","280.0","38.0","55.0","3901.0","1018.0","2883.0","3581.0","925.0","2656.0","320.0","93.0","227.0","621.0","120.0","501.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業_　　　　770 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","4.0","-","4.0","4.0","-","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業_　　　　771 持ち帰り飲食サービス業","113.0","92.0","21.0","26.0","638.0","240.0","398.0","506.0","180.0","326.0","132.0","60.0","72.0","151.0","48.0","103.0"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業_　　　　772 配達飲食サービス業","203.0","186.0","17.0","29.0","3259.0","778.0","2481.0","3071.0","745.0","2326.0","188.0","33.0","155.0","470.0","72.0","398.0"
"　C～R 非農林漁業(S公務を除く)_　　　M2 飲食店，持ち帰り・配達飲食サービス業 内格付不能_","71.0","57.0","14.0","-","278.0","63.0","215.0","238.0","50.0","188.0","40.0","13.0","27.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　M2Z 飲食店，持ち帰り・配達飲食サービス業 内格付不能_","71.0","57.0","14.0","-","278.0","63.0","215.0","238.0","50.0","188.0","40.0","13.0","27.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_","4458.0","4264.0","194.0","612.0","17230.0","7413.0","9815.0","16539.0","7135.0","9404.0","691.0","278.0","411.0","1905.0","808.0","1097.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_","3406.0","3266.0","140.0","407.0","8869.0","3238.0","5631.0","8488.0","3117.0","5371.0","381.0","121.0","260.0","914.0","301.0","613.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　780 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","4.0","-","4.0","4.0","-","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　781 洗濯業","499.0","484.0","15.0","66.0","2297.0","815.0","1482.0","2254.0","807.0","1447.0","43.0","8.0","35.0","153.0","40.0","113.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　782 理容業","1065.0","1046.0","19.0","102.0","1873.0","1218.0","655.0","1822.0","1190.0","632.0","51.0","28.0","23.0","195.0","124.0","71.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　783 美容業","1627.0","1552.0","75.0","185.0","3514.0","894.0","2620.0","3317.0","823.0","2494.0","197.0","71.0","126.0","377.0","107.0","270.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　784 一般公衆浴場業","29.0","28.0","1.0","4.0","167.0","62.0","105.0","159.0","62.0","97.0","8.0","-","8.0","7.0","3.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　785 その他の公衆浴場業","24.0","21.0","3.0","6.0","551.0","180.0","371.0","532.0","174.0","358.0","19.0","6.0","13.0","59.0","12.0","47.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　78A 一般公衆浴場業・その他の公衆浴場業 格付不能","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業_　　　　789 その他の洗濯・理容・美容・浴場業","161.0","134.0","27.0","44.0","463.0","69.0","394.0","400.0","61.0","339.0","63.0","8.0","55.0","123.0","15.0","108.0"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　79 その他の生活関連サービス業_","470.0","442.0","28.0","93.0","2703.0","1209.0","1494.0","2559.0","1140.0","1419.0","144.0","69.0","75.0","271.0","154.0","117.0"
